Comprimento (cm),Peso (g),Barrigas
012.5,013.2,1
026.3,013.2,2
033.8,013.2,3
047.9,013.2,4
056.5,013.2,5
072.0,013.2,6
012.4,014.7,1
026.5,014.7,2
036.8,014.7,3
047.5,014.7,4
059.7,014.7,5
069.4,014.7,6
019.7,033.3,1
033.6,033.3,2
050.0,033.3,3
067.0,033.3,4
083.4,033.3,5
020.1,045.3,1
039.6,045.3,2
057.5,045.3,3
076.7,045.3,4
093.3,045.3,5
028.6,104.4,1
061.1,104.4,2
084.9,104.4,3
114.4,104.4,4
149.0,104.4,5
032.7,105.6,1
061.4,105.6,2
087.6,105.6,3
115.0,105.6,4
042.0,213.6,1
079.8,213.6,2
122.3,213.6,3
163.8,213.6,4
