tipo,temp_metal,temp_quente,temp_equi,,temperatura_metal,temperatura_agua,massa_metal,massa_agua,temperatura_equilibrio
Cobre,"1,25","3,3","3,21",,"5,22","1,18","0,0927","0,3","1,33"
Aluminio,"1,25","3,21","3,15",,"5,22","1,33","0,1036","0,3","1,44"
Chumbo,"1,25","3,15","3,1",,"5,22","1,43","0,0422","0,3","1,46"
Cobre,"1,25","3,05","2,98",,"5,22","1,46","0,0927","0,3","1,53"
Aluminio,"1,25","2,96","2,9",,"5,22","1,53","0,1036","0,3","1,6"
Chumbo,"1,25","2,9","2,85",,"5,22","1,6","0,0422","0,3","1,68"
Cobre,"1,25","2,85","2,8",,"5,22","1,67","0,0927","0,3","1,75"
Aluminio,"1,25","2,8","2,74",,"5,22","1,75","0,1036","0,3","1,78"
Chumbo,"1,25","2,74","2,69",,"5,22","1,78","0,0422","0,3","1,86"
Cobre,"1,25","2,69","2,56",,"5,22","1,85","0,0927","0,3","1,9"
Aluminio,"1,25","2,57","2,47",,"5,22","1,9","0,1036","0,3","1,97"
Chumbo,"1,25","2,52","2,46",,"5,22","1,97","0,0422","0,3","1,99"
Cobre,"1,25","2,43","2,4",,"5,22","1,97","0,0927","0,3",
Aluminio,"1,25",,,,"5,22",,"0,1036","0,3",
Chumbo,"1,25",,,,"5,22",,"0,0422","0,3",
